3;200;65;385
3;291;54;385
3;257;48;385
3;214;44;385
3;156;43;385
3;155;44;385
3;150;42;385
3;151;43;385
3;154;46;385
3;154;42;385
4;164;42;45
4;150;42;45
4;149;43;45
4;150;43;45
4;150;42;45
4;156;42;45
4;150;42;45
4;149;42;45
4;149;42;45
4;149;42;45
5;151;55;13
5;203;44;13
5;157;42;13
5;148;42;13
5;155;43;13
5;152;41;13
5;153;43;13
5;154;42;13
5;149;42;13
5;151;42;13
6;149;42;3
6;149;42;3
6;149;42;3
6;150;42;3
6;149;42;3
6;149;42;3
6;163;42;3
6;148;42;3
6;150;42;3
6;150;42;3
7;151;42;1
7;150;42;1
7;150;43;1
7;153;43;1
7;150;42;1
7;149;42;1
7;149;43;1
7;150;42;1
7;150;43;1
7;149;42;1
